MAAMOV,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port,EVERTZ - Template,EVERTZ - DMG1,EVERTZ - DMG2,EVERTZ - Encoder,EVERTZ - IRD1,EVERTZ - IRD2,EVERTZ - Launch Status,EVERTZ  Note-1,EVERTZ  Note-2,EVERTZ - Source Description,Daily Summery Include,Sling Call DUPLICATE,Multicast DUPLICATE
MBC1,MBC,MBC1,232.20.97.210,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 93,Port 1093,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
MBCDR,MBCDR,MBCDR,232.20.214.7,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 3,,,Port 94,Port 1094,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
MBCKD,MBC3,MBCKD,232.20.214.1,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 3,,,Port 95,Port 1095,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
MBCM,MBCM,MBCM,232.20.214.2,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 3,,,Port 96,Port 1096,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NBASLC,NA,NBASLC,232.23.36.89,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 97,Port 1097,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 89,Gilbert Service,YES,ok,ok
MCTEST,NA,MCTEST,232.16.232.21,3101,172.31.1.22,172.31.2.22,BUNDLE,NOBUNDLE,Yes,Sentry 3,,,Port 98,Port 1098,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
MEATV,NA,MEATV,232.70.4.11,1234,172.31.27.23,172.31.28.23,BUNDLE,VYVX,Yes,Sentry 3,,,Port 99,Port 1099,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
MEGAC,MEGA,MEGAC,232.20.214.42,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 3,,,Port 100,Port 1100,Encoder,DMG1,DMG2,ENCODER,,,Customer,MEGA COSMOS,,Cheyenne Service,YES,ok,ok
MEKLAT,MEKLAT,MEKLAT,232.168.50.116,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 101,Port 1101,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,,Gilbert IRD,YES,ok,ok
MELDRA,NA,MELDRA,232.70.5.25,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 102,Port 1102,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
MESAT,NA,MESAT,232.23.13.11,3101,172.31.1.22,172.31.2.22,BUNDLE,NEXTOLOGIES,Yes,Sentry 3,,,Port 103,Port 1103,IRD,DMG1,DMG2,,Gilbert Fiber,Gilbert Fiber,Customer,,NEXTOLOGIES DELIVERY: A FIBER SOURCE IN STM1770 FEEDS COMPRESSION DMGS,Gilbert Fiber Service,YES,ok,ok
MILENIO,NA,MILENIO,232.168.50.75,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 104,Port 1104,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  572,Gilbert IRD,YES,ok,ok
MIS,MIS,MIS,232.70.4.1,1234,172.31.27.23,172.31.28.23,BUNDLE,LTN,Yes,Sentry 3,,,Port 105,Port 1105,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
MLDYH,MLDYH,MLDYH,232.20.97.35,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 3,,,Port 106,Port 1106,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
MMTVUS,NA,MMTVUS,232.168.50.73,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 107,Port 1107,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  571,Gilbert IRD,YES,ok,ok
MNBCHD,MSNBC,MNBCHD,232.70.2.112,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 3,,,Port 108,Port 1108,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
MNRMA,MNRMA,MNRMA,232.20.96.134,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 109,Port 1109,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
OLD_MOK,OLD_MOVOK,OLD_MOK,232.20.98.164,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,No,Sentry 3,,,Port 110,Port 1110,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,SKIP,ok,ok
BEIN4,BEIN4,BEIN4,232.70.15.4,1234,172.31.27.23,172.31.28.23,BUNDLE,Eurovision SRT,Yes,Sentry 3,,,Port 111,Port 1111,Outside,,,,,,Customer,,,Building 2,SKIP,ok,ok
MTA3,NA,MTA3,232.168.50.76,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 112,Port 1112,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  573,Gilbert IRD,YES,ok,ok
MTV,MTV,MTV,232.168.50.98,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 113,Port 1113,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  593,Gilbert IRD,YES,ok,ok
MTV2HD,MTV2,MTV2HD,232.168.50.52,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 114,Port 1114,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  548,Gilbert IRD,YES,ok,ok
MTVIND,MTVH,MTVIND,232.20.214.18,3101,172.31.1.24,172.31.2.24,BUNDLE,Che BT Tower,Yes,Sentry 3,,,Port 115,Port 1115,Encoder,DMG1,DMG2,ENCODER,,,Customer,MTV India,,Cheyenne Service,YES,ok,ok
MTVLIVE,MTVL,MTVLIVE,232.23.40.77,3101,172.31.1.22,172.31.2.22,BUNDLE,NOBUNDLE,Yes,Sentry 3,,,Port 116,Port 1116,Encoder,DMG1,DMG2,ENCODER,,,Beta,,,Gilbert Service,YES,ok,ok
MURRTV,MURTV,MURRTV,232.20.214.54,3101,172.31.1.22,172.31.2.22,BUNDLE,Che OVERON,Yes,Sentry 3,,,Port 117,Port 1117,Encoder,DMG1,DMG2,ENCODER,,,Customer,Murr TV,,Cheyenne Service,YES,ok,ok
MYGTV,MGTV,MYGTV,232.20.94.168,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 118,Port 1118,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
MZYKA,MZYKA,MZYKA,232.20.96.172,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 119,Port 1119,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
N18I,NA,N18I,232.70.6.140,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 3,,,Port 120,Port 1120,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
N18KLA,NA,N18KLA,232.70.6.138,1234,172.31.27.22,172.31.28.22,BUNDLE,TATA,Yes,Sentry 3,,,Port 121,Port 1121,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
N18NE,NA,N18NE,232.70.6.139,1234,172.31.1.31,172.31.2.31,BUNDLE,TATA,Yes,Sentry 3,,,Port 122,Port 1122,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
N18TML,NA,N18TML,232.70.6.137,1234,172.31.27.22 ,172.31.28.22,BUNDLE,TATA,Yes,Sentry 3,,,Port 123,Port 1123,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NATCL,NATCL,NATCL,232.70.5.13,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 124,Port 1124,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NATUREV,NA,NATUREV,232.70.5.18,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 125,Port 1125,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NBAATL,NA,NBAATL,232.23.36.61,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 126,Port 1126,Encoder,DMG1,DMG2,ENCODER,,,Customer,NBA League Pass Atlanta Hawks,Gilbert Master Control Service: Sling 61,Gilbert Service,YES,ok,ok
NBABOS,NA,NBABOS,232.23.36.62,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 127,Port 1127,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 62,Gilbert Service,YES,ok,ok
NBABRK,NA,NBABRK,232.23.36.63,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 128,Port 1128,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 63,Gilbert Service,YES,ok,ok
NBACHI,NA,NBACHI,232.23.36.65,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 129,Port 1129,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 65,Gilbert Service,YES,ok,ok
NBACLE,NA,NBACLE,232.23.36.66,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 130,Port 1130,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 66,Gilbert Service,YES,ok,ok
NBACLT,NA,NBACLT,232.23.36.64,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 131,Port 1131,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 64,Gilbert Service,YES,ok,ok
NBADAL,NA,NBADAL,232.23.36.67,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 132,Port 1132,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 67,Gilbert Service,YES,ok,ok
NBADEN,NA,NBADEN,232.23.36.68,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 133,Port 1133,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 68,Gilbert Service,YES,ok,ok
NBADET,NA,NBADET,232.23.36.69,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 134,Port 1134,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 69,Gilbert Service,YES,ok,ok
NBAHOU,NA,NBAHOU,232.23.36.71,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 135,Port 1135,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 71,Gilbert Service,YES,ok,ok
NBAIND,NA,NBAIND,232.23.36.72,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 136,Port 1136,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 72,Gilbert Service,YES,ok,ok
NBALAC,NA,NBALAC,232.23.36.73,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 137,Port 1137,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 73,Gilbert Service,YES,ok,ok
NBALAL,NA,NBALAL,232.23.36.74,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 138,Port 1138,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 74,Gilbert Service,YES,ok,ok
NBAMEM,NA,NBAMEM,232.23.36.75,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 139,Port 1139,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 75,Gilbert Service,YES,ok,ok
NBAMIA,NA,NBAMIA,232.23.36.76,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 140,Port 1140,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 76,Gilbert Service,YES,ok,ok
NBAMIL,NA,NBAMIL,232.23.36.77,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 141,Port 1141,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 77,Gilbert Service,YES,ok,ok
NBAMIN,NA,NBAMIN,232.23.36.78,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 142,Port 1142,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 78,Gilbert Service,YES,ok,ok
NBANOL,NA,NBANOL,232.23.36.79,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 143,Port 1143,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 79,Gilbert Service,YES,ok,ok
NBANYC,NA,NBANYC,232.23.36.80,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 144,Port 1144,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 80,Gilbert Service,YES,ok,ok
NBAOKC,NA,NBAOKC,232.23.36.91,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 145,Port 1145,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 81,Gilbert Service,YES,ok,ok
NBAORL,NA,NBAORL,232.23.36.82,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 146,Port 1146,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 82,Gilbert Service,YES,ok,ok
NBAPHIL,NA,NBAPHIL,232.23.36.83,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 147,Port 1147,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 83,Gilbert Service,YES,ok,ok
NBAPHX,NA,NBAPHX,232.23.36.92,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 148,Port 1148,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 84,Gilbert Service,YES,ok,ok
NBAPOR,NA,NBAPOR,232.23.36.85,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 149,Port 1149,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 85,Gilbert Service,YES,ok,ok
NBASAC,NA,NBASAC,232.23.36.93,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 150,Port 1150,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 86,Gilbert Service,YES,ok,ok
NBASAT,NA,NBASAT,232.23.36.87,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 151,Port 1151,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 87,Gilbert Service,YES,ok,ok
NBASFO,NA,NBASFO,232.23.36.70,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 152,Port 1152,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 70,Gilbert Service,YES,ok,ok
BEIN8,BEIN8,BEIN8,232.70.15.8,1234,172.31.27.23,172.31.28.23,BUNDLE,Eurovision SRT,Yes,Sentry 3,,,Port 153,Port 1153,Outside,,,,,,Customer,,,Building 2,SKIP,ok,ok
PEOPL,PEOPL,PEOPL,232.70.1.11,3101,172.31.27.71,172.31.28.71,BUNDLE,MX1,Yes,Sentry 3,,,Port 154,Port 1154,Encoder,DMG1,DMG2,ENCODER,,,Customer,Kairali People,,Cheyenne Service,YES,ok,ok
RCNTEL,RCNTEL,RCNTEL,232.168.50.68,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 155,Port 1155,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,RCN Novelas,GIL IRD -  559,Gilbert IRD,YES,ok,ok
TMICRO,TMICRO,TMICRO,232.168.50.17,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 3,,,Port 156,Port 1156,IRD,DMG2,DMG3,,IRD2,IRD3,Customer,Telemicro Internacional,GIL IRD -  568,Gilbert IRD,YES,ok,ok
ZEEFAM,ZFAM,ZEEFAM,232.23.138.55,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 3,,,Port 157,Port 1157,Encoder,DMG1,DMG2,ENCODER,,,Beta,Zee Familia,,Cheyenne Service,YES,ok,ok
AKAAL,N/A,AKAAL,232.70.5.75,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 3,,,Port 158,Port 1158,Outside,,,,,,Customer,Akaal Channel,,Building 2,YES,ok,ok
PPV5,NA,PPV5,232.23.36.60,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 3,,,Port 159,Port 1159,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 60,Gilbert Service,SKIP,ok,ok
OLD_NBASLC,NA,OLD_NBASLC,232.23.36.89,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,No,Sentry 4,,,Port 0,Port 1000,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 89,Gilbert Service,YES,ok,ok
OLD_NBATOR,NA,OLD_NBATOR,232.23.36.88,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,No,Sentry 4,,,Port 1,Port 1001,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 88,Gilbert Service,YES,ok,ok
NBATVHD,NBATVHD,NBATVHD,232.168.50.121,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 4,,,Port 2,Port 1002,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  554,Gilbert IRD,YES,ok,ok
NBAWAS,NA,NBAWAS,232.23.36.90,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,Yes,Sentry 4,,,Port 3,Port 1003,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 90,Gilbert Service,YES,ok,ok
NBCSNA1,NA,NBCSNA1,232.23.36.53,3101,172.31.1.24,172.31.2.24,BUNDLE,Gilbert MCR,Yes,Sentry 4,,,Port 4,Port 1004,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 53,Gilbert Service,SKIP,ok,ok
SLING2,NA,SLING2,232.23.36.54,3101,172.31.1.22,172.31.2.22,BUNDLE,Gilbert MCR,Yes,Sentry 4,,,Port 5,Port 1005,Encoder,DMG1,DMG2,ENCODER,,,Customer,,Gilbert Master Control Service: Sling 54,Gilbert Service,SKIP,ok,ok
NBCSNHD,NBCSP,NBCSNHD,232.70.2.101,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 4,,,Port 6,Port 1006,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NBN,NBN,NBN,232.20.214.62,3101,172.31.1.22,172.31.2.22,BUNDLE,Che OVERON,Yes,Sentry 4,,,Port 7,Port 1007,Encoder,DMG1,DMG2,ENCODER,,,Customer,NBN,,Cheyenne Service,YES,ok,ok
NDGT,NDTVG,NDGT,232.20.94.209,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 8,Port 1008,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NDTV2,NDTV,NDTV2,232.20.94.210,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 9,Port 1009,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NEW18,NEW18,NEW18,232.20.96.103,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 10,Port 1010,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NEWSWLD,NA,NEWSWLD,232.70.5.56,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 4,,,Port 11,Port 1011,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NEWSY,NA,NEWSY,232.70.5.91,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 4,,,Port 12,Port 1012,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NEWTV,NEWTV,NEWTV,232.20.214.63,3101,172.31.1.22,172.31.2.22,BUNDLE,Che OVERON,Yes,Sentry 4,,,Port 13,Port 1013,Encoder,DMG1,DMG2,ENCODER,,,Customer,New TV,,Cheyenne Service,YES,ok,ok
NFLHD,NFLHD,NFLHD,232.23.99.2,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 4,,,Port 14,Port 1014,Encoder,DMG1,DMG2,ENCODER,,,Customer,,GIL IRD - SAT 8913,Gilbert Service,YES,ok,ok
NFLHD200,NFLHD200,NFLHD200,232.23.39.210,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 4,,,Port 15,Port 1015,Encoder,DMG1,DMG2,ENCODER,,,Customer,,GIL IRD - SAT 8913,Gilbert Service,YES,ok,ok
NFLRZ,NFLRZ,NFLRZ,232.23.36.41,3101,172.31.1.22,172.31.2.22,BUNDLE,DBS,Yes,Sentry 4,,,Port 16,Port 1016,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,SKIP,ok,ok
NGCHD,NA,NGCHD,232.70.10.4,1234,172.31.27.21,172.31.28.21,BUNDLE,FOX,Yes,Sentry 4,,,Port 17,Port 1017,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Gilbert Service,YES,ok,ok
NHLHD,NA,NHLHD,232.168.50.113,3101,172.31.1.31,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 4,,,Port 18,Port 1018,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  549,Gilbert IRD,YES,ok,ok
NICJRHD,NKJR,NICJRHD,232.168.50.48,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 4,,,Port 19,Port 1019,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  548,Gilbert IRD,YES,ok,ok
NIKTNHD,NICKT,NIKTNHD,232.168.50.49,3101,172.31.1.31,172.31.2.31,BUNDLE,Gilbert IRD,Yes,Sentry 4,,,Port 20,Port 1020,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  548,Gilbert IRD,YES,ok,ok
NILE,NILE,NILE,232.20.97.208,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 21,Port 1021,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NOURAL,NA,NOURAL,232.70.1.86,3101,172.31.27.71,172.31.28.71,BUNDLE,MX1,Yes,Sentry 4,,,Port 22,Port 1022,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NOURAS,NOURAS,NOURAS,232.70.1.38,3101,172.31.27.71,172.31.28.71,BUNDLE,MX1,Yes,Sentry 4,,,Port 23,Port 1023,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NOURK,NOURK,NOURK,232.70.1.69,3101,172.31.27.71,172.31.28.71,BUNDLE,NOBUNDLE,Yes,Sentry 4,,,Port 24,Port 1024,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NOURMAR,NOURMAR,NOURMAR,232.70.1.31,3101,172.31.27.71,172.31.28.71,BUNDLE,MX1,Yes,Sentry 4,,,Port 25,Port 1025,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NOURSAT,NORST,NOURSAT,232.20.214.5,3101,172.31.1.24,172.31.2.24,BUNDLE,DBS,Yes,Sentry 4,,,Port 26,Port 1026,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NOURSH,NOURSH,NOURSH,232.70.1.32,3101,172.31.27.71,172.31.28.71,BUNDLE,MX1,Yes,Sentry 4,,,Port 27,Port 1027,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
NOWHAI,NOWHR,NOWHAI,232.20.96.39,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 28,Port 1028,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NOWTV,NOWTV,NOWTV,232.20.6.207,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 29,Port 1029,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NTV1,NTV,NTV1,232.20.98.137,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 30,Port 1030,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NUESTRA,NTN24,NUESTRA,232.168.50.20,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 4,,,Port 31,Port 1031,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  559,Gilbert IRD,YES,ok,ok
NUESTRT,NTEL,NUESTRT,232.20.96.241,3101,172.31.1.21,172.31.2.21,BUNDLE,DBS,Yes,Sentry 4,,,Port 32,Port 1032,Encoder,DMG1,DMG2,ENCODER,,,Customer,,,Cheyenne Service,YES,ok,ok
NWSMX,NA,NWSMX,232.168.50.125,3101,172.31.1.32,172.31.2.32,BUNDLE,Gilbert IRD,Yes,Sentry 4,,,Port 33,Port 1033,IRD,DMG1,DMG2,,IRD1,IRD2,Customer,,GIL IRD -  598,Gilbert IRD,YES,ok,ok
NWSWRLDI,NA,NWSWRLDI,232.70.5.57,1234,172.31.27.23,172.31.28.23,BUNDLE,ZIXI,Yes,Sentry 4,,,Port 34,Port 1034,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
OLYMPHD,OLYMP,OLYMPHD,232.70.2.171,1234,172.31.27.22,172.31.28.22,BUNDLE,NBC,Yes,Sentry 4,,,Port 35,Port 1035,Outside,,,,,,Customer,,,Building 2,YES,ok,ok
