MASTER PATH,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port
ENCORE,ENCORE,ENCORE,232.168.50.139,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 169,Port 1169
EPDVN,EPXDR,EPDVN,232.168.50.107,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 170,Port 1170
EPIX2HD,EPIX2,EPIX2HD,232.168.50.105,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 171,Port 1171
EPIX3HD,EPIXH,EPIX3HD,232.168.50.106,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 172,Port 1172
EPIXHD,EPIX1,EPIXHD,232.168.50.104,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 1,0,,Port 173,Port 1173
ESC1,ESC-1,ESC1,232.20.214.3,3101,172.31.1.24,172.31.2.24,DBS,Yes,Sentry 1,0,,Port 174,Port 1174
ESPN2HD,ESPN2,ESPN2HD,232.70.2.12,1234,172.31.27.21,172.31.28.21,ESPN,Yes,Sentry 1,0,,Port 175,Port 1175
ESPNDHD,ESPND,ESPNDHD,232.70.2.17,1234,172.31.27.21,172.31.28.21,ESPN,Yes,Sentry 1,0,,Port 176,Port 1176
OLD_ESPNHD,OLD_ESPN,OLD_ESPNHD,232.70.2.11,1234,172.31.27.21,172.31.28.21,ESPN,No,Sentry 1,0,,Port 177,Port 1177
ESPNUHD,ESPNU,ESPNUHD,232.70.2.14,1234,172.31.27.21,172.31.28.21,ESPN,Yes,Sentry 2,0,,Port 0,Port 1000
ESPNWHD,ESNWS,ESPNWHD,232.70.2.13,1234,172.31.27.21,172.31.28.21,ESPN,Yes,Sentry 2,0,,Port 1,Port 1001
ESTRELLA,NA,ESTRELLA,232.168.50.84,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 2,0,,Port 2,Port 1002
ESTUD5,NA,ESTUD5,232.168.50.92,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 3,Port 1003
ESTV,ESTV,ESTV,232.168.50.117,3101,172.31.1.32,172.31.2.32,Gilbert IRD,Yes,Sentry 2,0,,Port 4,Port 1004
ETCHI,ETCHI,ETCHI,232.20.96.75,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 5,Port 1005
ETDRA,ETDRA,ETDRA,232.20.97.97,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 6,Port 1006
ETFINWS,ETFIN,ETFINWS,232.20.97.203,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 7,Port 1007
ETGLOB,ETGLB,ETGLOB,232.20.97.88,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 8,Port 1008
ETMP,NA,ETMP,232.70.6.127,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 9,Port 1009
ETNEW,ETNEW,ETNEW,232.20.97.87,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 10,Port 1010
ETVABR,NA,ETVABR,232.70.6.131,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 11,Port 1011
ETVAP,NA,ETVAP,232.70.6.125,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 12,Port 1012
CCTVE,CCTVE,CCTVE,232.20.97.181,3101,172.31.1.21,172.31.2.21,Tiger Tech,Yes,Sentry 2,0,,Port 13,Port 1013
ETVBIJH,NA,ETVBIJH,232.70.6.126,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 14,Port 1014
ETVCINE,NA,ETVCINE,232.70.6.132,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 15,Port 1015
ETVKN,CLRSK,ETVKN,232.20.94.150,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 16,Port 1016
ETVLIFE,NA,ETVLIFE,232.70.6.134,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 17,Port 1017
ETVMA,CLRSM,ETVMA,232.20.94.143,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 18,Port 1018
ETVNEWBG,NA,ETVNEWBG,232.70.6.121,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 19,Port 1019
ETVNGUJ,NA,ETVNGUJ,232.70.6.141,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 20,Port 1020
ETVNHH,NA,ETVNHH,232.70.6.123,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 21,Port 1021
ETVNWKAN,NA,ETVNWKAN,232.70.6.122,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 22,Port 1022
ETVPLUS,NA,ETVPLUS,232.70.6.133,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 23,Port 1023
ETVRAJ,NA,ETVRAJ,232.70.6.128,1234,172.31.27.22,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 24,Port 1024
ETVTELAN,NA,ETVTELAN,232.70.6.129,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 25,Port 1025
ETVUP,NA,ETVUP,232.70.6.130,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 26,Port 1026
ETVURDU,NA,ETVURDU,232.70.6.124,1234,172.31.27.22 ,172.31.28.22,TATA,Yes,Sentry 2,0,,Port 27,Port 1027
EURCHD,EURCH,EURCHD,232.70.8.1,1234,172.31.27.121,172.31.28.121,EUROCHANNEL,Yes,Sentry 2,0,,Port 28,Port 1028
EURONEW,EURNS,EURONEW,232.20.96.37,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 29,Port 1029
EVTV,NA,EVTV,232.70.5.34,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 30,Port 1030
EXPEN,EXPEN,EXPEN,232.20.214.33,3101,172.31.1.24,172.31.2.24,Che MX1,Yes,Sentry 2,0,,Port 31,Port 1031
EXPNW,EXPNW,EXPNW,232.20.214.32,3101,172.31.1.24,172.31.2.24,Che MX1,Yes,Sentry 2,0,,Port 32,Port 1032
F24EN,F24EN,F24EN,232.20.97.184,3101,172.31.1.21,172.31.2.21,DBS,Yes,Sentry 2,0,,Port 33,Port 1033
FILMD,NA,FILMD,232.70.5.149,1234,172.31.27.23,172.31.28.23,ZIXI,Yes,Sentry 2,0,,Port 34,Port 1034
FOODHD,FOOD,FOODHD,232.168.50.1,3101,172.31.1.31,172.31.2.31,Gilbert IRD,Yes,Sentry 2,0,,Port 35,Port 1035
FOXAZ01,FOXAZ01,FOXAZ01,232.23.34.1,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 36,Port 1036
FOXAZ02,FOXAZ02,FOXAZ02,232.23.34.2,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 37,Port 1037
ALJZ,ALJZ,ALJZ,232.70.1.15,3101,172.31.27.71,172.31.28.71,MX1,Yes,Sentry 2,0,,Port 38,Port 1038
FOXDT04,FOXDT04,FOXDT04,232.23.34.4,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 39,Port 1039
OLD_FOXDT05,OLD_FOXDT05,OLD_FOXDT05,232.23.34.5,3101,172.31.1.23,172.31.2.23,Gilbert MCR,No,Sentry 2,0,,Port 40,Port 1040
FOXFL06,FOXFL06,FOXFL06,232.23.34.6,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 41,Port 1041
FOXFL07,FOXFL07,FOXFL07,232.23.34.7,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 42,Port 1042
FOXMW08,FOXMW08,FOXMW08,232.23.34.8,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 43,Port 1043
FOXMW09,FOXMW09,FOXMW09,232.23.34.9,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 44,Port 1044
FOXMW10,FOXMW10,FOXMW10,232.23.34.10,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 45,Port 1045
FOXMW11,FOXMW11,FOXMW11,232.23.34.11,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 46,Port 1046
OLD_FOXMW12,OLD_FOXMW12,OLD_FOXMW12,232.23.34.12,3101,172.31.1.23,172.31.2.23,Gilbert MCR,No,Sentry 2,0,,Port 47,Port 1047
FOXN13,FOXN13,FOXN13,232.23.34.13,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 48,Port 1048
FOXN14,FOXN14,FOXN14,232.23.34.14,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 49,Port 1049
FOXN15,FOXN15,FOXN15,232.23.34.15,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 50,Port 1050
FOXN16,FOXN16,FOXN16,232.23.34.16,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 51,Port 1051
OLD_FOXN17,OLD_FOXN17,OLD_FOXN17,232.23.34.17,3101,172.31.1.23,172.31.2.23,Gilbert MCR,No,Sentry 2,0,,Port 52,Port 1052
FOXOH18,FOXOH18,FOXOH18,232.23.34.18,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 53,Port 1053
FOXS19,FOXS19,FOXS19,232.23.34.19,3101,172.31.1.23,172.31.2.23,Gilbert MCR,Yes,Sentry 2,0,,Port 54,Port 1054
FOXS20,FOXS20,FOXS20,232.23.34.20,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 55,Port 1055
FOXS21,FOXS21,FOXS21,232.23.34.21,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 56,Port 1056
